,State,Year,Household_Size,Income_Level
782,MD,2018,7,38060
783,MD,2018,8,42380
784,MD,2019,1,12490
785,MD,2019,2,16910
786,MD,2019,3,21330
787,MD,2019,4,25750
788,MD,2019,5,30170
789,MD,2019,6,34590
790,MD,2019,7,39010
791,MD,2019,8,43430
792,MD,2020,1,12760
793,MD,2020,2,17240
794,MD,2020,3,21720
795,MD,2020,4,26200
796,MD,2020,5,30680
797,MD,2020,6,35160
798,MD,2020,7,39640
799,MD,2020,8,44120
800,MA,2016,1,11880
801,MA,2016,2,16020
802,MA,2016,3,20160
803,MA,2016,4,24300
804,MA,2016,5,28440
805,MA,2016,6,32580
806,MA,2016,7,36730
807,MA,2016,8,40890
808,MA,2017,1,12060
809,MA,2017,2,16240
810,MA,2017,3,20420
811,MA,2017,4,24600
812,MA,2017,5,28780
813,MA,2017,6,32960
814,MA,2017,7,37140
815,MA,2017,8,41320
816,MA,2018,1,12140
817,MA,2018,2,16460
818,MA,2018,3,20780
819,MA,2018,4,25100
820,MA,2018,5,29420
821,MA,2018,6,33740
822,MA,2018,7,38060
823,MA,2018,8,42380
824,MA,2019,1,12490
825,MA,2019,2,16910
826,MA,2019,3,21330
827,MA,2019,4,25750
828,MA,2019,5,30170
829,MA,2019,6,34590
830,MA,2019,7,39010
831,MA,2019,8,43430
832,MA,2020,1,12760
833,MA,2020,2,17240
834,MA,2020,3,21720
835,MA,2020,4,26200
836,MA,2020,5,30680
837,MA,2020,6,35160
838,MA,2020,7,39640
839,MA,2020,8,44120
840,MI,2016,1,11880
841,MI,2016,2,16020
842,MI,2016,3,20160
843,MI,2016,4,24300
844,MI,2016,5,28440
845,MI,2016,6,32580
846,MI,2016,7,36730
847,MI,2016,8,40890
848,MI,2017,1,12060
849,MI,2017,2,16240
850,MI,2017,3,20420
851,MI,2017,4,24600
852,MI,2017,5,28780
853,MI,2017,6,32960
854,MI,2017,7,37140
855,MI,2017,8,41320
856,MI,2018,1,12140
857,MI,2018,2,16460
858,MI,2018,3,20780
859,MI,2018,4,25100
860,MI,2018,5,29420
861,MI,2018,6,33740
862,MI,2018,7,38060
863,MI,2018,8,42380
864,MI,2019,1,12490
865,MI,2019,2,16910
866,MI,2019,3,21330
867,MI,2019,4,25750
